Vorname,Anzahl,Geschlecht
Emilia,144,w
Emma,122,w
Anna,114,w
Sophia,99,w
Marie,92,w
Lea,87,w
Mia,79,w
Lara,72,w
Luisa,71,w
Charlotte,70,w
Clara,70,w
Laura,68,w
Lena,65,w
Lina,65,w
Antonia,62,w
Ella,62,w
Leonie,60,w
Sophie,58,w
Hanna,54,w
Nora,54,w
Paula,54,w
Sofia,54,w
Mila,52,w
Hannah,51,w
Emily,49,w
Valentina,49,w
Helena,48,w
Ida,48,w
Amelie,46,w
Johanna,45,w
Elena,44,w
Magdalena,41,w
Sara,41,w
Leni,40,w
Maria,40,w
Olivia,40,w
Romy,39,w
Isabella,37,w
Theresa,37,w
Alma,35,w
Elisabeth,35,w
Frida,34,w
Marlene,34,w
Elisa,33,w
Matilda,33,w
Ava,32,w
Maja,32,w
Mathilda,31,w
Klara,30,w
Eva,28,w
Victoria,27,w
Alina,26,w
Carla,26,w
Julia,26,w
Luise,26,w
Mara,26,w
Maya,26,w
Paulina,26,w
Rosa,26,w
Sarah,26,w
Thea,26,w
Lia,25,w
Melina,25,w
Lotta,24,w
Carlotta,23,w
Josefine,22,w
Louisa,22,w
Nina,22,w
Pauline,22,w
Frieda,21,w
Katharina,21,w
Amalia,20,w
Stella,20,w
Juna,19,w
Lilly,19,w
Luna,19,w
Aurelia,18,w
Karla,18,w
Melissa,18,w
Amelia,17,w
Amira,17,w
Ela,17,w
Franziska,17,w
Josephine,17,w
Mira,17,w
Miriam,17,w
Ronja,17,w
Rosalie,17,w
Valerie,17,w
Amina,16,w
Elina,16,w
Martha,16,w
Nele,16,w
Alicia,15,w
Anastasia,15,w
Aurora,15,w
Fiona,15,w
Lisa,15,w
Malia,15,w
Mina,15,w
Zoe,15,w
Alba,14,w
Alessia,14,w
Ana,14,w
Diana,14,w
Isabel,14,w
Jana,14,w
Liya,14,w
Selma,14,w
Viktoria,14,w
Ada,13,w
Alexandra,13,w
Alisa,13,w
Azra,13,w
Chiara,13,w
Eleni,13,w
Ellie,13,w
Ema,13,w
Hana,13,w
Lana,13,w
Leyla,13,w
Linda,13,w
Nisa,13,w
Annika,12,w
Elise,12,w
Leah,12,w
Meryem,12,w
Philippa,12,w
Pia,12,w
Tilda,12,w
Valeria,12,w
Vera,12,w
Veronika,12,w
Anouk,11,w
Cleo,11,w
Felicitas,11,w
Florentine,11,w
Lilia,11,w
Livia,11,w
Lucia,11,w
Marla,11,w
Aleyna,10,w
Annelie,10,w
Anni,10,w
Ayla,10,w
Emilie,10,w
Filippa,10,w
Isabelle,10,w
Jasmin,10,w
Lilli,10,w
Lola,10,w
Lorena,10,w
Malou,10,w
Marina,10,w
Marta,10,w
Milena,10,w
Nika,10,w
Sofija,10,w
Asja,9,w
Felicia,9,w
Freya,9,w
Gloria,9,w
Greta,9,w
Kiara,9,w
Kira,9,w
Liliana,9,w
Lily,9,w
Linnea,9,w
Liv,9,w
Lotte,9,w
Mona,9,w
Rebecca,9,w
Selin,9,w
Tara,9,w
Viola,9,w
Yuna,9,w
Annabelle,8,w
Aylin,8,w
Cosima,8,w
Elif,8,w
Emmi,8,w
Finja,8,w
Flora,8,w
Franka,8,w
Giulia,8,w
Jonna,8,w
Luana,8,w
Mathilde,8,w
Noemi,8,w
Sena,8,w
Tamara,8,w
Vanessa,8,w
Zeynep,8,w
Alice,7,w
Alva,7,w
Amélie,7,w
Annie,7,w
Carolina,7,w
Daria,7,w
Elea,7,w
Eleonora,7,w
Elli,7,w
Emelie,7,w
Esma,7,w
Larissa,7,w
Leila,7,w
Letizia,7,w
Lucy,7,w
Malina,7,w
Marija,7,w
Merle,7,w
Nicole,7,w
Noa,7,w
Selina,7,w
